Director,Total Gross Profit ($)
Ric Roman Waugh,42800000.0
David M. Rosenthal,42300000.0
Phillip Noyce,42000000.0
Theodore Melfi,41800000.0
Dan Gilroy,41800000.0
Trish Sie,41200000.0
Sam Miller,41100000.0
Lee Toland Krieger,40700000.0
Richard Linklater,40500000.0
Oliver Stone,38000000.0
Jean-Marc Vallée,37500000.0
Robert Eggers,37400000.0
Steven Soderbergh,36700000.0
Drew Goddard,36500000.0
Bradley Parker,36200000.0
Nicholas Hytner,35400000.0
David Gelb,35100000.0
Ari Sandel,35000000.0
Jon Favreau,35000000.0
Guy Ritchie,34800000.0
Cal Brunker,34600000.0
Peter Pau,34470000.0
David Dobkin,34400000.0
Tom Harper,33900000.0
Tom Gormican,32500000.0
Michael J. Bassett,32300000.0
Derek Cianfrance,32000000.0
Scott Frank,30800000.0
Harald Zwart,30600000.0
Ruben Fleischer,30200000.0
Tyler Perry,29900000.0
Matt Bettinelli-Olpin,29900000.0
Ericson Core,28699999.999999985
Todd Haynes,28500000.0
Ken Kwapis,28000000.0
Jason Zada,27600000.0
Henry Joost,27600000.0
John Luessenhop,27200000.0
Edgar Wright,26100000.0
Kevin Reynolds,26100000.0
Adam Wingard,25800000.0
Bobby Farrelly,24800000.0
Boaz Yakin,24000000.0
Joshua Michael Stern,23900000.0
Andrew Niccol,23300000.0
Jonathan Demme,23300000.0
Dexter Fletcher,23200000.0
Lenny Abrahamson,23000000.0
Andrew Dominik,22900000.0
Scott Charles Stewart,22900000.0
Alex Garland,21900000.0
Charles Martin Smith,21800000.0
Dean Israelite,21200000.000000004
Anton Corbijn,21200000.0
Stephen Chbosky,20400000.0
Benh Zeitlin,20100000.0
Roger Donaldson,19800000.0
Gavin Hood,19799999.999999996
Sergei Bodrov,19200000.0
Garry Marshall,18800000.0
Asif Kapadia,18600000.0
Stephen Hopkins,18500000.0
Sarah Gavron,18000000.0
Nicole Holofcener,17300000.0
Jessie Nelson,17100000.0
Anne Fletcher,16700000.0
John Wells,16600000.0
Thomas Carter,15100000.0
Ghaz Abu Bakar,14900000.0
Chris Rock,14100000.0
Taylor Hackford,13500000.0
Billy Ray,12700000.000000004
Stephen Frears,12700000.0
Dax Shepard,12500000.0
James Mather,12200000.000000004
Vic Armstrong,11600000.0
Sofia Coppola,11100000.0
Jeff Nichols,10800000.0
Doug Ellin,10300000.0
Gareth Evans,10140000.0
Ed Gass-Donnelly,10100000.0
Danny Boyle,8700000.0
Noah Baumbach,8300000.0
Russell Crowe,8300000.0
Gina Prince-Bythewood,7600000.0
Greg McLean,6900000.0
Michaël R. Roskam,6100000.0
Ben Stiller,6000000.0
Alex Proyas,5700000.0
Peter Atencio,5700000.0
Andrew Erwin and Jon Erwin,5500000.0
Bille Woodruff,5400000.0
Valérie Donzelli,5000000.0
László Nemes,4700000.0
Ivan Reitman,4500000.0
James Ponsoldt,4400000.0
Asger Leth,4200000.0
James McTeigue,3700000.0
Deniz Gamze Ergüven,3600000.0
John Hillcoat,3400000.0
Tate Taylor,3400000.0
Kim Ji-woon,3300000.0
Jay Roach,3099999.999999999
Wally Pfister,3000000.0
Jennifer Westfeldt,2200000.0
Anna Muylaert,2200000.0
Tom Tykwer,2000000.0
The Erwin Brothers,1400000.0
Ciro Guerra,1400000.0
Alfonso Gomez-Rejon,1100000.0
Sam Liu,900000.0
Jerry Jameson,800000.0
Timo Vuorensola,600000.0
William Riead,600000.0
RZA,300000.0
Akiva Schaffer,300000.0
Richard LaGravenese,100000.0
Jay Duplass,0.0
Joel and Ethan Coen,0.0
Nat Faxon,0.0
Grímur Hákonarson,-10000.0
Michael Polish,-200000.0
Rob Cohen,-400000.0
Zach Braff,-500000.0
Bruno Podalydès,-500000.0
Matt Hullum,-800000.0
Kevin Smith,-1100000.0
Marcus Dunstan,-1100000.0
Ariel Vromen,-1500000.0
William Eubank,-1580000.0
Dan Fogelman,-1800000.000000001
Ryuhei Kitamura,-1900000.0
Scott McGehee,-2300000.0
Rob Thomas,-2500000.0
Michael Cuesta,-2500000.0
Alejandro Gómez Monteverde,-2500000.0
Josh Schwartz,-2600000.0
David Lowery,-3000000.0
Julie Anne Robinson,-3100000.0
Mabrouk El Mechri,-3100000.0
Diego Luna,-3300000.0
Benson Lee,-3500000.0
Alex Kurtzman,-3600000.0
Paul Thomas Anderson,-3700000.0
Zal Batmanglij,-4100000.0
James Vanderbilt,-4200000.0
Yann Demange,-5200000.0
Paul McGuigan,-5800000.0
Courtney Solomon,-6200000.0
Don Scardino,-6600000.0
Peter Landesman,-6700000.0
Rowan Joffé,-6900000.0
Gus Van Sant,-6900000.0
Jerrica Cleland,-7200000.0
Anthony Hemingway,-7600000.0
J. C. Chandor,-8000000.0
Renny Harlin,-8700000.0
Glenn Ficarra,-10100000.0
Marc Abraham ,-10400000.0
Jorma Taccone,-10500000.0
David Wain,-10800000.0
Robert Lorenz,-11000000.0
Cyrus Nowrasteh,-11300000.0
Barry Levinson,-11600000.0
Burr Steers,-11600000.000000002
Curtis Hanson,-11700000.0
Niels Arden Oplev,-11900000.0
Carlo Carlei,-12000000.0
Dustin Marcellino,-13200000.0
Ed Zwick,-13600000.0
Daniel Barnz,-13600000.0
Mark Waters,-14600000.0
Pascal Chaumeil,-15600000.0
Adam Shankman,-15600000.0
Pierre Morel,-15800000.0
Dan Bradley,-16900000.0
David Koepp,-16900000.0
Angelo Pizzo,-17800000.0
Brian Robbins,-18000000.0
Jonathan Jakubowicz,-18300000.0
Matthew Diamond,-18900000.0
David Gordon Green,-19400000.0
Ken Scott,-20600000.0
Joe Wright,-21600000.0
Gavin O'Connor,-22000000.0
Frank Miller,-25600000.0
Cameron Crowe,-25700000.0
Akiva Goldsman,-28900000.0
Brad Furman,-32300000.0
Travis Knight,-32400000.0
Dennis Gansel,-32500000.0
Seth Rogen,-32700000.0
Walter Hill,-33100000.0
Timur Bekmambetov,-41700000.0
Michael Mann,-50300000.0
