"Figure 4. Marine Heat Wave Intensity and Duration at Five Marine Protected Areas, 1982-2023",,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
"Data source: NOAA, 2024",,,,,,
Web update: June 2024,,,,,,
"Units: duration (days), intensity (degrees F), severity",,,,,,
,,,,,,
event_no,duration,date_start,date_end,intensity_mean,severity,marine_protected_area
65,65,9/20/2015,11/23/2015,3.7987,II Strong,Olympic Coast National Marine Sanctuary
66,15,12/3/2015,12/17/2015,2.7188,I Moderate,Olympic Coast National Marine Sanctuary
67,59,1/15/2016,3/13/2016,3.1005,I Moderate,Olympic Coast National Marine Sanctuary
68,38,3/28/2016,5/4/2016,3.4795,III Severe,Olympic Coast National Marine Sanctuary
69,8,7/18/2016,7/25/2016,3.4431,I Moderate,Olympic Coast National Marine Sanctuary
70,38,10/28/2016,12/4/2016,3.7176,II Strong,Olympic Coast National Marine Sanctuary
71,12,1/21/2018,2/1/2018,2.445,I Moderate,Olympic Coast National Marine Sanctuary
72,6,6/17/2018,6/22/2018,3.62,I Moderate,Olympic Coast National Marine Sanctuary
73,8,1/22/2019,1/29/2019,2.5666,I Moderate,Olympic Coast National Marine Sanctuary
74,9,4/8/2019,4/16/2019,2.1262,I Moderate,Olympic Coast National Marine Sanctuary
75,48,6/29/2019,8/15/2019,3.8825,II Strong,Olympic Coast National Marine Sanctuary
76,6,8/24/2019,8/29/2019,3.1753,I Moderate,Olympic Coast National Marine Sanctuary
77,26,9/2/2019,9/27/2019,4.6077,I Moderate,Olympic Coast National Marine Sanctuary
78,13,5/8/2020,5/20/2020,3.4356,I Moderate,Olympic Coast National Marine Sanctuary
79,15,9/29/2020,10/13/2020,3.5328,I Moderate,Olympic Coast National Marine Sanctuary
80,11,6/24/2021,7/4/2021,4.0479,II Strong,Olympic Coast National Marine Sanctuary
81,7,8/16/2022,8/22/2022,3.4997,I Moderate,Olympic Coast National Marine Sanctuary
82,8,5/11/2023,5/18/2023,3.6549,I Moderate,Olympic Coast National Marine Sanctuary
83,20,10/6/2023,10/25/2023,3.0718,I Moderate,Olympic Coast National Marine Sanctuary
84,25,11/5/2023,11/29/2023,2.3144,I Moderate,Olympic Coast National Marine Sanctuary
85,11,12/21/2023,12/31/2023,2.9093,I Moderate,Olympic Coast National Marine Sanctuary
1,17,2/10/1982,2/26/1982,2.1209,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
2,10,10/31/1982,11/9/1982,3.0508,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
3,9,11/28/1982,12/6/1982,2.6317,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
4,63,12/25/1982,2/25/1983,2.798,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
5,6,3/3/1983,3/8/1983,2.1943,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
6,10,3/13/1983,3/22/1983,2.1736,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
7,8,9/6/1983,9/13/1983,3.4675,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
8,5,1/31/1984,2/4/1984,2.091,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
9,20,2/11/1984,3/1/1984,3.1424,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
10,9,8/14/1984,8/22/1984,3.6475,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
11,6,11/10/1984,11/15/1984,1.8893,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
12,9,12/19/1984,12/27/1984,2.9634,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
13,5,1/5/1985,1/9/1985,2.8366,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
14,6,9/9/1989,9/14/1989,3.6152,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
15,5,8/3/1990,8/7/1990,3.0188,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
16,9,8/11/1990,8/19/1990,3.915,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
17,5,10/13/1990,10/17/1990,3.2746,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
18,5,3/5/1991,3/9/1991,2.2696,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
19,13,5/23/1991,6/4/1991,4.8862,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
20,6,7/21/1991,7/26/1991,2.903,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
21,8,6/11/1996,6/18/1996,4.2006,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
22,8,6/1/1999,6/8/1999,4.0404,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
23,9,7/26/1999,8/3/1999,3.036,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
24,13,9/3/1999,9/15/1999,4.2153,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
25,14,6/16/2001,6/29/2001,4.6219,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
26,6,3/2/2002,3/7/2002,1.998,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
27,6,3/13/2002,3/18/2002,2.323,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
28,12,4/13/2002,4/24/2002,3.5861,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
29,9,7/1/2002,7/9/2002,3.8478,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
30,10,8/11/2002,8/20/2002,3.2726,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
31,7,9/25/2003,10/1/2003,3.3287,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
32,5,7/19/2005,7/23/2005,3.528,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
33,46,12/23/2006,2/6/2007,3.1734,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
34,7,7/29/2007,8/4/2007,3.6113,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
35,9,10/3/2007,10/11/2007,4.073,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
36,9,10/20/2007,10/28/2007,2.7993,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
37,7,4/22/2008,4/28/2008,4.458,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
38,9,7/28/2008,8/5/2008,3.3142,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
39,11,8/15/2008,8/25/2008,3.6482,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
40,8,9/4/2008,9/11/2008,3.3414,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
41,18,8/12/2009,8/29/2009,5.0045,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
42,8,11/28/2009,12/5/2009,2.305,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
43,5,3/19/2010,3/23/2010,2.7749,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
44,37,4/2/2010,5/8/2010,3.7407,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
45,15,5/23/2010,6/6/2010,5.2311,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
46,36,6/20/2010,7/25/2010,5.2457,III Severe,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
47,11,8/30/2010,9/9/2010,3.99,II Strong,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
48,7,9/25/2010,10/1/2010,3.5248,I Moderate,Gerry E. Studds/Stellwagen Bank National Marine Sanctuary
