"Figure 4. Marine Heat Wave Intensity and Duration at Five Marine Protected Areas, 1982-2023",,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
"Data source: NOAA, 2024",,,,,,
Web update: June 2024,,,,,,
"Units: duration (days), intensity (degrees F), severity",,,,,,
,,,,,,
event_no,duration,date_start,date_end,intensity_mean,severity,marine_protected_area
49,12,12/31/2006,1/11/2007,2.7766,I Moderate,Florida Keys National Marine Sanctuary
50,12,1/16/2007,1/27/2007,2.6462,I Moderate,Florida Keys National Marine Sanctuary
51,13,9/2/2007,9/14/2007,1.5853,I Moderate,Florida Keys National Marine Sanctuary
52,5,12/13/2007,12/17/2007,2.1495,I Moderate,Florida Keys National Marine Sanctuary
53,5,2/6/2008,2/10/2008,3.3922,II Strong,Florida Keys National Marine Sanctuary
54,5,2/23/2008,2/27/2008,2.9302,I Moderate,Florida Keys National Marine Sanctuary
55,7,6/16/2009,6/22/2009,1.68,I Moderate,Florida Keys National Marine Sanctuary
56,5,8/31/2009,9/4/2009,1.6131,I Moderate,Florida Keys National Marine Sanctuary
57,22,9/27/2009,10/18/2009,2.492,II Strong,Florida Keys National Marine Sanctuary
58,10,10/28/2009,11/6/2009,2.013,I Moderate,Florida Keys National Marine Sanctuary
59,8,12/13/2009,12/20/2009,2,I Moderate,Florida Keys National Marine Sanctuary
60,5,5/7/2010,5/11/2010,2.3866,I Moderate,Florida Keys National Marine Sanctuary
61,19,6/4/2010,6/22/2010,2.5225,II Strong,Florida Keys National Marine Sanctuary
62,6,7/10/2010,7/15/2010,1.7902,I Moderate,Florida Keys National Marine Sanctuary
63,11,4/9/2011,4/19/2011,2.5085,I Moderate,Florida Keys National Marine Sanctuary
64,5,5/9/2011,5/13/2011,2.1221,I Moderate,Florida Keys National Marine Sanctuary
65,5,7/18/2011,7/22/2011,1.9281,I Moderate,Florida Keys National Marine Sanctuary
66,6,8/3/2011,8/8/2011,2.1007,I Moderate,Florida Keys National Marine Sanctuary
67,14,8/12/2011,8/25/2011,2.2158,II Strong,Florida Keys National Marine Sanctuary
68,5,9/7/2011,9/11/2011,1.5725,I Moderate,Florida Keys National Marine Sanctuary
69,7,4/1/2012,4/7/2012,2.7927,I Moderate,Florida Keys National Marine Sanctuary
70,5,5/28/2012,6/1/2012,2.1685,I Moderate,Florida Keys National Marine Sanctuary
71,5,1/15/2013,1/19/2013,2.1609,I Moderate,Florida Keys National Marine Sanctuary
72,8,4/16/2013,4/23/2013,2.6704,I Moderate,Florida Keys National Marine Sanctuary
73,10,11/19/2013,11/28/2013,2.1108,I Moderate,Florida Keys National Marine Sanctuary
74,8,12/10/2013,12/17/2013,2.1367,I Moderate,Florida Keys National Marine Sanctuary
75,14,12/21/2013,1/3/2014,2.5345,I Moderate,Florida Keys National Marine Sanctuary
76,8,1/9/2014,1/16/2014,2.5748,I Moderate,Florida Keys National Marine Sanctuary
77,9,2/5/2014,2/13/2014,3.0724,I Moderate,Florida Keys National Marine Sanctuary
78,7,2/22/2014,2/28/2014,3.2464,I Moderate,Florida Keys National Marine Sanctuary
79,30,6/22/2014,7/21/2014,1.6583,I Moderate,Florida Keys National Marine Sanctuary
80,6,7/28/2014,8/2/2014,1.9489,I Moderate,Florida Keys National Marine Sanctuary
81,25,8/13/2014,9/6/2014,1.8098,I Moderate,Florida Keys National Marine Sanctuary
82,9,10/2/2014,10/10/2014,1.7656,I Moderate,Florida Keys National Marine Sanctuary
83,12,12/29/2014,1/9/2015,2.4728,I Moderate,Florida Keys National Marine Sanctuary
84,5,1/21/2015,1/25/2015,2.3716,I Moderate,Florida Keys National Marine Sanctuary
85,11,3/18/2015,3/28/2015,3.4692,II Strong,Florida Keys National Marine Sanctuary
86,19,4/13/2015,5/1/2015,3.5122,II Strong,Florida Keys National Marine Sanctuary
87,8,5/19/2015,5/26/2015,2.4707,I Moderate,Florida Keys National Marine Sanctuary
88,13,6/25/2015,7/7/2015,2.1997,II Strong,Florida Keys National Marine Sanctuary
89,9,7/18/2015,7/26/2015,1.8762,I Moderate,Florida Keys National Marine Sanctuary
90,8,8/10/2015,8/17/2015,2.0197,I Moderate,Florida Keys National Marine Sanctuary
91,24,8/21/2015,9/13/2015,2.2228,II Strong,Florida Keys National Marine Sanctuary
92,5,9/19/2015,9/23/2015,2.0098,I Moderate,Florida Keys National Marine Sanctuary
93,22,11/3/2015,11/24/2015,2.4427,II Strong,Florida Keys National Marine Sanctuary
94,40,12/14/2015,1/22/2016,3.3228,II Strong,Florida Keys National Marine Sanctuary
95,5,2/4/2016,2/8/2016,2.6218,I Moderate,Florida Keys National Marine Sanctuary
96,6,3/15/2016,3/20/2016,3.1673,I Moderate,Florida Keys National Marine Sanctuary
97,6,5/20/2016,5/25/2016,2.4333,I Moderate,Florida Keys National Marine Sanctuary
98,7,5/29/2016,6/4/2016,2.0463,I Moderate,Florida Keys National Marine Sanctuary
99,33,6/14/2016,7/16/2016,2.4222,II Strong,Florida Keys National Marine Sanctuary
100,32,9/18/2016,10/19/2016,2.066,I Moderate,Florida Keys National Marine Sanctuary
101,27,12/13/2016,1/8/2017,2.5375,II Strong,Florida Keys National Marine Sanctuary
102,6,1/18/2017,1/23/2017,2.5325,I Moderate,Florida Keys National Marine Sanctuary
103,5,2/28/2017,3/4/2017,2.7697,I Moderate,Florida Keys National Marine Sanctuary
104,8,3/31/2017,4/7/2017,2.7085,I Moderate,Florida Keys National Marine Sanctuary
105,13,5/26/2017,6/7/2017,2.151,I Moderate,Florida Keys National Marine Sanctuary
106,16,6/28/2017,7/13/2017,1.8977,I Moderate,Florida Keys National Marine Sanctuary
107,17,7/17/2017,8/2/2017,1.8564,I Moderate,Florida Keys National Marine Sanctuary
108,6,8/14/2017,8/19/2017,1.8692,I Moderate,Florida Keys National Marine Sanctuary
109,10,9/1/2017,9/10/2017,1.7856,I Moderate,Florida Keys National Marine Sanctuary
110,5,9/14/2017,9/18/2017,1.5408,I Moderate,Florida Keys National Marine Sanctuary
111,8,9/22/2017,9/29/2017,1.6184,I Moderate,Florida Keys National Marine Sanctuary
112,8,12/2/2017,12/9/2017,1.8642,I Moderate,Florida Keys National Marine Sanctuary
113,9,2/24/2018,3/4/2018,3.2118,I Moderate,Florida Keys National Marine Sanctuary
114,40,6/21/2018,7/30/2018,1.8185,I Moderate,Florida Keys National Marine Sanctuary
115,10,11/7/2018,11/16/2018,2.1007,I Moderate,Florida Keys National Marine Sanctuary
116,8,11/20/2018,11/27/2018,1.7835,I Moderate,Florida Keys National Marine Sanctuary
117,5,1/1/2019,1/5/2019,2.3546,I Moderate,Florida Keys National Marine Sanctuary
118,36,2/12/2019,3/19/2019,3.3583,II Strong,Florida Keys National Marine Sanctuary
119,7,4/12/2019,4/18/2019,2.2403,I Moderate,Florida Keys National Marine Sanctuary
120,17,5/5/2019,5/21/2019,2.5315,I Moderate,Florida Keys National Marine Sanctuary
121,41,6/2/2019,7/12/2019,2.1227,II Strong,Florida Keys National Marine Sanctuary
122,14,8/8/2019,8/21/2019,2.3187,II Strong,Florida Keys National Marine Sanctuary
123,33,10/16/2019,11/17/2019,2.665,II Strong,Florida Keys National Marine Sanctuary
124,7,12/30/2019,1/5/2020,2.3826,I Moderate,Florida Keys National Marine Sanctuary
125,10,1/12/2020,1/21/2020,2.5904,I Moderate,Florida Keys National Marine Sanctuary
126,11,2/12/2020,2/22/2020,3.0631,I Moderate,Florida Keys National Marine Sanctuary
127,32,3/30/2020,4/30/2020,3.5611,II Strong,Florida Keys National Marine Sanctuary
128,5,5/31/2020,6/4/2020,1.8605,I Moderate,Florida Keys National Marine Sanctuary
129,29,6/20/2020,7/18/2020,2.4569,II Strong,Florida Keys National Marine Sanctuary
130,6,8/16/2020,8/21/2020,1.6929,I Moderate,Florida Keys National Marine Sanctuary
131,17,8/29/2020,9/14/2020,1.5888,I Moderate,Florida Keys National Marine Sanctuary
132,5,9/19/2020,9/23/2020,1.6252,I Moderate,Florida Keys National Marine Sanctuary
133,22,9/30/2020,10/21/2020,1.8905,I Moderate,Florida Keys National Marine Sanctuary
134,21,10/28/2020,11/17/2020,1.9842,I Moderate,Florida Keys National Marine Sanctuary
135,8,2/13/2021,2/20/2021,2.9194,I Moderate,Florida Keys National Marine Sanctuary
136,7,2/27/2021,3/5/2021,2.7584,I Moderate,Florida Keys National Marine Sanctuary
137,15,5/1/2021,5/15/2021,2.7689,I Moderate,Florida Keys National Marine Sanctuary
138,17,7/27/2021,8/12/2021,1.8162,I Moderate,Florida Keys National Marine Sanctuary
139,43,9/24/2021,11/5/2021,2.0132,I Moderate,Florida Keys National Marine Sanctuary
140,40,12/9/2021,1/17/2022,2.5077,II Strong,Florida Keys National Marine Sanctuary
141,17,2/25/2022,3/13/2022,2.9649,I Moderate,Florida Keys National Marine Sanctuary
142,8,3/18/2022,3/25/2022,2.8246000000000002,I Moderate,Florida Keys National Marine Sanctuary
143,8,4/2/2022,4/9/2022,2.874,I Moderate,Florida Keys National Marine Sanctuary
144,5,5/17/2022,5/21/2022,2.0666,I Moderate,Florida Keys National Marine Sanctuary
145,43,6/13/2022,7/25/2022,2.0264,II Strong,Florida Keys National Marine Sanctuary
146,43,8/16/2022,9/27/2022,2.1114,I Moderate,Florida Keys National Marine Sanctuary
147,53,11/3/2022,12/25/2022,2.2614,II Strong,Florida Keys National Marine Sanctuary
148,6,1/22/2023,1/27/2023,2.3698,I Moderate,Florida Keys National Marine Sanctuary
149,12,2/2/2023,2/13/2023,2.687,I Moderate,Florida Keys National Marine Sanctuary
150,27,2/17/2023,3/15/2023,3.1775,I Moderate,Florida Keys National Marine Sanctuary
151,40,3/26/2023,5/4/2023,2.8232,I Moderate,Florida Keys National Marine Sanctuary
152,18,5/16/2023,6/2/2023,2.3393,I Moderate,Florida Keys National Marine Sanctuary
153,78,6/13/2023,8/29/2023,3.1285,III Severe,Florida Keys National Marine Sanctuary
154,40,9/9/2023,10/18/2023,2.5734,II Strong,Florida Keys National Marine Sanctuary
155,35,11/9/2023,12/13/2023,2.3608,II Strong,Florida Keys National Marine Sanctuary
1,25,5/1/1984,5/25/1984,2.187,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
2,16,5/31/1984,6/15/1984,2.234,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
3,30,7/1/1984,7/30/1984,2.0883,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
4,9,11/19/1984,11/27/1984,1.4762,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
5,12,8/20/1987,8/31/1987,1.6839,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
6,24,6/13/1988,7/6/1988,1.9017,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
7,17,9/27/1988,10/13/1988,1.2595,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
8,23,12/28/1988,1/19/1989,1.8109,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
9,8,10/26/1990,11/2/1990,1.2435,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
10,5,9/30/1995,10/4/1995,1.0862,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
11,7,4/21/1996,4/27/1996,2.1045,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
12,8,6/26/1996,7/3/1996,1.6093,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
13,10,9/16/1996,9/25/1996,1.0947,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
14,18,8/2/1997,8/19/1997,1.7802,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
15,12,8/28/1997,9/8/1997,1.5864,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
16,13,10/9/1997,10/21/1997,1.1472,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
17,6,11/4/1998,11/9/1998,1.326,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
18,11,2/9/1999,2/19/1999,2.3984,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
19,5,12/14/1999,12/18/1999,1.4982,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
20,57,2/4/2000,3/31/2000,2.6058,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
21,15,4/25/2000,5/9/2000,2.4208,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
22,7,5/19/2000,5/25/2000,2.579,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
23,6,6/11/2000,6/16/2000,1.9912,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
24,10,11/29/2000,12/8/2000,1.252,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
25,22,1/13/2001,2/3/2001,2.1304,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
26,12,2/9/2001,2/20/2001,2.062,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
27,10,3/8/2001,3/17/2001,2.2177,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
28,8,4/2/2001,4/9/2001,1.9009,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
29,5,5/4/2001,5/8/2001,2.1668,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
30,6,9/18/2001,9/23/2001,1.0118,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
31,6,11/3/2001,11/8/2001,1.2497,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
32,6,12/10/2001,12/15/2001,1.3308,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
33,28,8/22/2004,9/18/2004,1.5516,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
34,17,10/29/2004,11/14/2004,1.3123,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
35,13,5/11/2005,5/23/2005,2.3278,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
36,5,6/26/2005,6/30/2005,1.631,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
37,5,7/4/2005,7/8/2005,1.5013,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
38,15,8/23/2005,9/6/2005,1.8592,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
39,5,10/10/2005,10/14/2005,1.132,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
40,23,1/8/2006,1/30/2006,2.0874,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
41,5,2/4/2006,2/8/2006,2.0907,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
42,9,2/26/2006,3/6/2006,2.0139,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
43,18,4/5/2006,4/22/2006,1.714,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
44,5,6/4/2006,6/8/2006,2.1093,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
45,6,7/7/2007,7/12/2007,1.6846,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
46,23,7/30/2007,8/21/2007,1.6275,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
47,13,9/7/2007,9/19/2007,1.2722,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
48,8,11/11/2007,11/18/2007,1.2402,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
49,6,2/6/2008,2/11/2008,2.058,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
50,8,3/3/2008,3/10/2008,2.0665,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
51,13,3/23/2008,4/4/2008,2.4167,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
52,5,4/30/2008,5/4/2008,1.9208,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
53,6,5/8/2008,5/13/2008,2.2516,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
54,5,5/17/2008,5/21/2008,2.4187,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
55,7,6/1/2008,6/7/2008,2.229,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
56,18,9/12/2008,9/29/2008,1.113,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
57,12,10/4/2008,10/15/2008,1.5437,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
58,5,4/15/2009,4/19/2009,1.9085,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
59,14,7/2/2009,7/15/2009,1.8659,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
60,16,7/26/2009,8/10/2009,1.7484,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
61,12,9/15/2009,9/26/2009,1.2292,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
62,12,10/18/2010,10/29/2010,1.1837,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
63,7,12/10/2010,12/16/2010,1.296,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
64,8,12/30/2010,1/6/2011,1.7693,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
65,8,3/28/2011,4/4/2011,2.0457,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
66,10,4/10/2011,4/19/2011,1.6437,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
67,17,6/4/2011,6/20/2011,1.9441,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
68,6,10/7/2011,10/12/2011,1.0314,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
69,8,12/26/2011,1/2/2012,1.5113,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
70,6,1/9/2012,1/14/2012,1.7523,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
71,6,2/17/2012,2/22/2012,2.0864,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
72,5,4/17/2012,4/21/2012,1.6997,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
73,12,12/20/2012,12/31/2012,1.6112,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
74,6,3/2/2013,3/7/2013,1.9787,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
75,6,7/15/2013,7/20/2013,1.2734,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
76,8,7/30/2013,8/6/2013,1.3409,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
77,18,9/12/2013,9/29/2013,1.2021,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
78,10,4/20/2014,4/29/2014,1.9446,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
79,5,7/7/2014,7/11/2014,1.3037,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
80,128,7/21/2014,11/25/2014,2.2807,III Severe,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
81,78,7/16/2015,10/1/2015,1.8027,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
82,13,12/13/2015,12/25/2015,1.5597,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
83,150,9/13/2016,2/9/2017,1.7309,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
84,40,3/20/2017,4/28/2017,2.5152,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
85,114,6/15/2017,10/6/2017,1.869,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
86,8,11/10/2017,11/17/2017,1.3693,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
87,7,1/24/2018,1/30/2018,1.9456,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
88,24,1/8/2019,1/31/2019,1.9761,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
89,9,4/20/2019,4/28/2019,1.724,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
90,5,6/6/2019,6/10/2019,2.1108,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
91,31,7/3/2019,8/2/2019,1.8396,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
92,105,8/6/2019,11/18/2019,2.0926,III Severe,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
93,64,5/28/2020,7/30/2020,2.3973,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
94,7,8/8/2020,8/14/2020,1.4162,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
95,55,9/2/2020,10/26/2020,1.7942,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
96,88,11/18/2020,2/13/2021,2.1807,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
97,11,2/21/2021,3/3/2021,2.0397,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
98,5,3/10/2021,3/14/2021,1.8164,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
99,12,5/21/2021,6/1/2021,2.438,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
100,17,6/19/2021,7/5/2021,1.9353,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
101,6,9/20/2021,9/25/2021,1.0764,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
102,39,10/27/2021,12/4/2021,1.7779,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
103,52,2/23/2022,4/15/2022,2.1957,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
104,27,4/21/2022,5/17/2022,2.2541,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
105,69,5/26/2022,8/2/2022,2.4666,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
106,65,8/15/2022,10/18/2022,1.6153,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
107,36,11/1/2022,12/6/2022,1.4026,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
108,11,1/4/2023,1/14/2023,1.7365,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
109,6,8/23/2023,8/28/2023,1.2643,I Moderate,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
110,66,9/30/2023,12/4/2023,1.7485,II Strong,Papahanaumokuakea Marine National Monument Particularly Sensitive Sea Area
1,5,6/26/1984,6/30/1984,2.6669,I Moderate,Kachemak Bay National Estuarine Research Reserve
2,5,8/20/1984,8/24/1984,2.408,I Moderate,Kachemak Bay National Estuarine Research Reserve
3,14,9/24/1984,10/7/1984,2.5434,II Strong,Kachemak Bay National Estuarine Research Reserve
4,5,2/3/1985,2/7/1985,2.7035,I Moderate,Kachemak Bay National Estuarine Research Reserve
5,6,2/12/1986,2/17/1986,2.6407,I Moderate,Kachemak Bay National Estuarine Research Reserve
6,5,11/14/1986,11/18/1986,1.8072,I Moderate,Kachemak Bay National Estuarine Research Reserve
7,7,2/12/1987,2/18/1987,3.2496,I Moderate,Kachemak Bay National Estuarine Research Reserve
8,7,4/23/1987,4/29/1987,2.7027,I Moderate,Kachemak Bay National Estuarine Research Reserve
9,6,5/3/1987,5/8/1987,3.2314,I Moderate,Kachemak Bay National Estuarine Research Reserve
10,33,12/10/1987,1/11/1988,2.6315,I Moderate,Kachemak Bay National Estuarine Research Reserve
11,7,4/2/1988,4/8/1988,2.3078,I Moderate,Kachemak Bay National Estuarine Research Reserve
12,5,1/18/1992,1/22/1992,2.2678,I Moderate,Kachemak Bay National Estuarine Research Reserve
13,8,7/4/1995,7/11/1995,2.6249,I Moderate,Kachemak Bay National Estuarine Research Reserve
14,6,7/2/1997,7/7/1997,3.6921,I Moderate,Kachemak Bay National Estuarine Research Reserve
15,19,8/12/1997,8/30/1997,3.5767,II Strong,Kachemak Bay National Estuarine Research Reserve
16,5,9/9/1997,9/13/1997,2.4427,I Moderate,Kachemak Bay National Estuarine Research Reserve
17,12,9/23/1997,10/4/1997,1.8851,I Moderate,Kachemak Bay National Estuarine Research Reserve
18,16,11/3/1997,11/18/1997,1.9542,I Moderate,Kachemak Bay National Estuarine Research Reserve
19,6,11/24/1997,11/29/1997,2.2491,I Moderate,Kachemak Bay National Estuarine Research Reserve
20,5,12/23/1997,12/27/1997,2.4728,I Moderate,Kachemak Bay National Estuarine Research Reserve
21,10,2/7/1998,2/16/1998,3.1938,I Moderate,Kachemak Bay National Estuarine Research Reserve
22,16,2/21/1998,3/8/1998,3.5037,II Strong,Kachemak Bay National Estuarine Research Reserve
23,13,3/21/1998,4/2/1998,3.2157,II Strong,Kachemak Bay National Estuarine Research Reserve
24,9,4/6/1998,4/14/1998,2.9883,II Strong,Kachemak Bay National Estuarine Research Reserve
25,12,4/19/1998,4/30/1998,3.3006,II Strong,Kachemak Bay National Estuarine Research Reserve
26,17,11/6/1998,11/22/1998,1.8471,I Moderate,Kachemak Bay National Estuarine Research Reserve
27,5,1/14/1999,1/18/1999,2.4493,I Moderate,Kachemak Bay National Estuarine Research Reserve
28,6,2/22/2001,2/27/2001,3.0271,I Moderate,Kachemak Bay National Estuarine Research Reserve
29,7,6/17/2001,6/23/2001,3.0342,I Moderate,Kachemak Bay National Estuarine Research Reserve
30,5,9/29/2001,10/3/2001,1.4492,I Moderate,Kachemak Bay National Estuarine Research Reserve
31,5,8/3/2002,8/7/2002,2.5633,I Moderate,Kachemak Bay National Estuarine Research Reserve
32,5,10/24/2002,10/28/2002,1.7405,I Moderate,Kachemak Bay National Estuarine Research Reserve
33,8,11/8/2002,11/15/2002,1.9442,I Moderate,Kachemak Bay National Estuarine Research Reserve
34,5,11/20/2002,11/24/2002,2.2679,I Moderate,Kachemak Bay National Estuarine Research Reserve
35,53,2/15/2003,4/8/2003,2.872,II Strong,Kachemak Bay National Estuarine Research Reserve
36,6,6/9/2003,6/14/2003,2.3058,I Moderate,Kachemak Bay National Estuarine Research Reserve
37,5,7/6/2003,7/10/2003,4.2093,I Moderate,Kachemak Bay National Estuarine Research Reserve
38,7,7/22/2003,7/28/2003,3.2733,I Moderate,Kachemak Bay National Estuarine Research Reserve
39,8,9/6/2003,9/13/2003,1.8756,I Moderate,Kachemak Bay National Estuarine Research Reserve
40,21,10/10/2003,10/30/2003,2.0879,I Moderate,Kachemak Bay National Estuarine Research Reserve
41,11,11/5/2003,11/15/2003,2.3823,I Moderate,Kachemak Bay National Estuarine Research Reserve
42,8,8/8/2004,8/15/2004,3.2349,I Moderate,Kachemak Bay National Estuarine Research Reserve
43,6,9/7/2004,9/12/2004,2.0165,I Moderate,Kachemak Bay National Estuarine Research Reserve
44,28,4/25/2005,5/22/2005,3.1186,I Moderate,Kachemak Bay National Estuarine Research Reserve
